"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri7_z_h.ss","fri9_z_h.ss","fri7_mm_h.ss","fri9_mm_h.ss","fri7_d_h.ss","fri9_d_h.ss","fri7_z_h.m","fri9_z_h.m","fri7_mm_h.m","fri9_mm_h.m","fri7_d_h.m","fri9_d_h.m","fri7_z_nh.ss","fri9_z_nh.ss","fri7_mm_nh.ss","fri9_mm_nh.ss","fri7_d_nh.ss","fri9_d_nh.ss","fri7_z_nh.m","fri9_z_nh.m","fri7_mm_nh.m","fri9_mm_nh.m","fri7_d_nh.m","fri9_d_nh.m","frp_base","fri7_base","fri9_base","fri9_counts","fri7_counts","is_urban","frp_range","fri_any","fri_any_z"
53053071403,0.845679012345679,0.860082304526749,0.830589849108368,0.772290809327846,0.728395061728395,0.638545953360768,0.762688614540466,0.781893004115226,0.680384087791495,0.681069958847737,0.757887517146776,0.722908093278464,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.8,1,1,4,13,1,0.221536351165981,1,1
53053071406,0.641975308641975,0.676954732510288,0.49519890260631,0.473936899862826,0.710562414266118,0.683813443072702,0.580246913580247,0.611796982167353,0.447873799725652,0.458847736625514,0.622770919067215,0.62002743484225,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0.7,1,0,0,8,1,0.262688614540466,1,1
53053071407,0.604252400548697,0.641975308641975,0.4039780521262,0.397119341563786,0.620713305898491,0.593964334705075,0.55761316872428,0.587105624142661,0.403292181069959,0.41358024691358,0.560356652949246,0.556241426611797,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,4,1,0.244855967078189,1,1
53053071408,0.518518518518518,0.554869684499314,0.403292181069959,0.406721536351166,0.554183813443073,0.540466392318244,0.563100137174211,0.596707818930041,0.484224965706447,0.501371742112483,0.632373113854595,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6,1,0,0,3,1,0.229080932784636,1,0
53053071409,0.763374485596708,0.785322359396433,0.708504801097394,0.659807956104252,0.783264746227709,0.701646090534979,0.761316872427984,0.781207133058985,0.690672153635117,0.685871056241427,0.802469135802469,0.757887517146776,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0.8,1,1,2,13,1,0.142661179698217,1,1
53053071410,0.576131687242798,0.616598079561043,0.519890260631001,0.481481481481481,0.685871056241427,0.609739368998628,0.554869684499314,0.587791495198903,0.500685871056241,0.507544581618656,0.652263374485597,0.617283950617284,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.7,1,0,0,6,1,0.218518518518519,1,1
53053071411,0.715363511659808,0.745541838134431,0.606310013717421,0.558299039780521,0.770233196159122,0.66803840877915,0.690672153635117,0.711248285322359,0.614540466392318,0.607681755829904,0.713991769547325,0.655006858710562,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.7,1,0,0,12,1,0.211934156378601,1,1
53053071503,0.721536351165981,0.738683127572016,0.687928669410151,0.700274348422497,0.878600823045268,0.887517146776406,0.729766803840878,0.742112482853224,0.737311385459534,0.751028806584362,0.828532235939643,0.838134430727023,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0.9,1,1,5,13,1,0.212071330589849,1,1
53053071504,0.880658436213992,0.893689986282579,0.833333333333333,0.849108367626886,0.938957475994513,0.940329218106996,0.882716049382716,0.895061728395062,0.86076817558299,0.867626886145405,0.902606310013717,0.904663923182442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1,0.166666666666667,1,1
53053071505,0.590534979423868,0.622770919067215,0.526748971193416,0.539094650205761,0.728395061728395,0.740740740740741,0.569958847736626,0.5960219478738,0.544581618655693,0.563100137174211,0.674897119341564,0.679698216735254,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.8,1,1,1,6,1,0.273251028806584,1,1
