"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri_z_h.ss","fri_mm_h.ss","fri_d_h.ss","fri_z_h.m","fri_mm_h.m","fri_d_h.m","fri_z_nh.ss","fri_mm_nh.ss","fri_d_nh.ss","fri_z_nh.m","fri_mm_nh.m","fri_d_nh.m","frp_base","fri_base","frp_range","fri_counts","is_urban"
53015001200,0.281038374717833,0.309255079006772,0.340293453724605,0.350451467268623,0.456546275395034,0.512415349887133,0.390519187358916,0.387133182844244,0.417042889390519,0.444695259593679,0.613995485327314,0.628668171557562,0,0,0,0,0,0,0,0,0,0,0,0,0.322316384181,0,0.347629796839729,0,0
53015001300,0.456546275395034,0.442437923250564,0.387697516930023,0.388261851015801,0.625846501128668,0.601015801354402,0.586343115124153,0.553047404063205,0.511851015801354,0.538374717832957,0.613995485327314,0.608352144469526,0,0,0,0,0,0,0,0,0,0,0,0,0.682203389831,1,0.294505872900977,1,0
53015001501,0.512415349887133,0.101580135440181,0.218397291196388,0.0665914221218962,0.505643340857788,0.0648984198645598,0.448645598194131,0.218397291196388,0.132054176072235,0.0558690744920993,0.602708803611738,0.194695259593679,0,0,0,0,0,0,0,0,0,0,0,0,0.50395480226,0,0.546839729119639,0,0
53015001503,0.0778781038374718,0.0383747178329571,0.0276523702031603,0.0372460496613995,0.335778781038375,0.233069977426637,0.0457110609480813,0.0208803611738149,0.0220090293453725,0.0366817155756208,0.22234762979684,0.182844243792325,0,0,0,0,0,0,0,0,0,0,0,0,0.153107344633,0,0.31489841986456,0,0
53015001504,0.636568848758465,0.507900677200903,0.4813769751693,0.417607223476298,0.822799097065463,0.670993227990971,0.586907449209932,0.494356659142212,0.455417607223476,0.435665914221219,0.867381489841986,0.747742663656885,0,0,1,0,0,1,0,0,1,0,0,1,0.834463276836,1,0.449774266365688,5,0
53015001601,0.414785553047404,0.367381489841986,0.298532731376975,0.307562076749436,0.505643340857788,0.437923250564334,0.389390519187359,0.369638826185102,0.34255079006772,0.371896162528217,0.508465011286682,0.480812641083521,0,0,0,0,0,0,0,0,0,0,0,0,0.609604519774,0,0.311071788397025,0,0
53015001602,0.0874717832957111,0.0118510158013544,0.0270880361173815,0.0169300225733634,0.226297968397291,0.077313769751693,0.0609480812641084,0.0152370203160271,0.012979683972912,0.0118510158013544,0.170993227990971,0.0925507900677201,0,0,0,0,0,0,0,0,0,0,0,0,0.170621468927,0,0.214446952595937,0,0
53015001700,0.256772009029345,0.0665914221218962,0.103273137697517,0.0507900677200903,0.335778781038375,0.0434537246049661,0.142776523702032,0.0654627539503386,0.0490970654627539,0.0372460496613995,0.205981941309255,0.0835214446952596,0,0,0,0,0,0,0,0,0,0,0,0,0.326553672316,0,0.298532731376976,0,0
53015001800,0.31038374717833,0.0479683972911964,0.131489841986456,0.0383747178329571,0.19920993227991,0.0321670428893905,0.433972911963883,0.209367945823928,0.108916478555305,0.0423250564334086,0.259593679458239,0.077313769751693,0,0,0,0,0,0,0,0,0,0,0,0,0.417514124294,0,0.401805869074493,0,0
53015001900,0.253386004514673,0.10665914221219,0.0993227990970655,0.0496613995485327,0.505643340857788,0.29176072234763,0.216139954853273,0.112302483069977,0.0603837471783296,0.0440180586907449,0.538939051918736,0.401805869074492,0,0,0,0,0,0,0,0,0,0,0,0,0.352542372881,0,0.494920993227991,0,0
53015002001,0.0931151241534989,0.0220090293453725,0.0586907449209932,0.0276523702031603,0.19920993227991,0.0727990970654628,0.123024830699774,0.0507900677200903,0.0485327313769752,0.031038374717833,0.229119638826185,0.095372460496614,0,0,0,0,0,0,0,0,0,0,0,0,0.229943502825,0,0.207934473479628,0,0
53015002003,0.357787810383747,0.110045146726862,0.115124153498871,0.077313769751693,0.292325056433409,0.0886004514672686,0.156320541760722,0.0919864559819413,0.072234762979684,0.0880361173814898,0.327313769751693,0.194130925507901,0,0,0,0,0,0,0,0,0,0,0,0,0.261016949153,0,0.285553047404063,0,0
53015002004,0.303047404063205,0.104401805869074,0.292889390519187,0.178329571106095,0.379232505643341,0.105530474040632,0.243792325056433,0.130925507900677,0.159142212189616,0.109480812641084,0.246049661399549,0.109480812641084,0,0,0,0,0,0,0,0,0,0,0,0,0.454802259887,0,0.350400454017926,0,0
53015002100,0.985891647855531,0.990406320541761,0.982505643340858,0.984198645598194,0.983634311512415,0.987584650112867,0.980812641083521,0.980812641083521,0.985891647855531,0.986455981941309,0.948645598194131,0.949774266365689,1,1,1,1,1,1,1,1,1,1,1,1,0.996610169492,1,0.047964571297869,13,1
53015980000,0.989841986455982,0.991534988713318,0.94469525959368,0.928893905191874,0.885440180586907,0.863995485327314,0.987584650112867,0.984762979683973,0.953160270880361,0.952031602708804,0.931151241534989,0.901241534988713,1,1,1,1,1,1,1,1,1,1,1,1,0.988700564972,1,0.127539503386004,13,1
